Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Mr. Quennell has said he plans to go with the grid regardless,[ 'grid' 'has' 'emblem' ],TRUE,Mr Quennel has said that he plans to go with the grid that has an emblem regardless
Michael J.C. Roth USAA executive vice president called program trading mindless,[ 'red t' 'IN' 'trading' ],TRUE,Michael JC Roth executive vice president called program trading in red t mindless
The buy-out group had no firm financing for the plan,[ 'plan' 'ON' 'tarmac' ],FALSE,The buy-out group had no firm financing for the plan on tarmac
Some of the more cautious CD holders might like pre-refunded municipals,[ 'holder' 'silver' ],FALSE,Some of the more cautious CD silver holders might like pre-refunded municipals
Mr. Quennell has said he plans to go with the grid regardless,[ 'grid' 'metal' ],TRUE,Mr. Quennell has said he plans to go with the metal grid regardless
And Oranjemund boasts attractions besides diamonds,[ 'diamond' 'ON' 'pavement' ],TRUE,And Oranjemund boasts attractions on pavement besides diamonds
The buy-out group had no firm financing for the plan,[ 'plan' 'air' ],FALSE,The buy-out group had no firm financing for the air plan
I think this is a market that required some level of security,[ 'market' 'ON' 'street' ],TRUE,I think this is a market on the street that required some level of security
For the prior year deposits exceeded withdrawals by 8.8 billion,[ 'year' 'written on' 'photo' ],TRUE,For the prior year written on the photo deposits exceeded withdrawals by 8.8 billion
And most vacationers still prefer a warm climate for their winter excursions,[ 'vacationer' 'has' 'dog' ],TRUE,And most vacationers that have dogs still prefer a warm climate for their winter excursions
And Oranjemund boasts attractions besides diamonds,[ 'diamond' 'white' ],FALSE,And Oranjemund boasts attractions besides a white diamond
I think this is a market that required some level of security,[ 'market' 'outdoor' ],TRUE,I think this is an outdoor market that required some level of security
The Journal also will offer expanded volume and frequency discounts,[ 'volume' 'ON' 'headphones' ],TRUE,The Journal also will offer expanded volume on headphones and frequency discounts
For the prior year deposits exceeded withdrawals by 8.8 billion,[ 'year' 'white' ],FALSE,For the prior year white deposits exceeded withdrawals by 8.8 billion
"The minimum unit is 100,000",[ 'unit' 'ON' 'building' ],TRUE,The minimum unit on the building is 100000
I think this is a market that required some level of security,[ 'level' 'OF' 'boat' ],FALSE,N/A
For the prior year deposits exceeded withdrawals by 8.8 billion,[ 'deposit' 'ON' 'game' ],FALSE,For the prior year deposits on games exceeded withdrawals by 8.8 billion
The Journal also will offer expanded volume and frequency discounts,[ 'volume' '3' ],FALSE,The Journal also will offer expanded 3 volume and frequency discounts
And most vacationers still prefer a warm climate for their winter excursions,[ 'vacationer' 'walking' ],FALSE,And most walking vacationers still prefer a warm climate for their winter excursions
"The minimum unit is 100,000",[ 'unit' 'white' ],FALSE,"The minimum white unit is 100,000"
The Journal also will offer expanded volume and frequency discounts,[ 'discount' 'ON' 'window' ],TRUE,The Journal also will offer expanded volume and frequency discounts on windows
For the prior year deposits exceeded withdrawals by 8.8 billion,[ 'deposit' 'metal' ],TRUE,For the prior year metal deposits exceeded withdrawals by 8.8 billion
I think this is a market that required some level of security,[ 'level' 'upper' ],TRUE,I think this is a market that required some upper level of security
And most vacationers still prefer a warm climate for their winter excursions,[ 'climate' 'control' 'buttons' ],FALSE,And most vacationers still prefer a warm climate control button for their winter excursions
The Journal also will offer expanded volume and frequency discounts,[ 'discount' 'written' ],FALSE,The Journal also will offer expanded volume and frequency written discounts
Study halls complete with reference materials will be available,[ 'book' 'for' 'study' ],FALSE,Book for study halls complete with reference materials will be available
Estimated volume was a heavy seven million ounces,[ 'volume' 'ON' 'keyboard' ],TRUE,Estimated volume on the keyboard was a heavy seven million ounces
These guys prey on human frailties,[ 'guy' 'in a' 'shirt' ],FALSE,These guys in a shirt prey on human frailties.
I think this is a market that required some level of security,[ 'security' 'walking in' 'orange vests' ],FALSE,I think this is a market that required some level of security walking in orange vests
Study halls complete with reference materials will be available,[ 'hall' 'ON' 'uniform' ],FALSE,Study halls on uniforms complete with reference materials will be available
Estimated volume was a heavy seven million ounces,[ 'volume' '3' ],TRUE,Estimated volume of 3 was a heavy seven million ounces
These guys prey on human frailties,[ 'guy' 'standing' ],FALSE,These guys standing prey on human frailties
Study halls complete with reference materials will be available,[ 'hall' 'large' ],TRUE,Large study halls complete with reference materials will be available
And most vacationers still prefer a warm climate for their winter excursions,[ 'climate' 'black' ],FALSE,And most vacationers still prefer a warm black climate for their winter excursions
They want a 24-hour library,[ 'library' 'has' 'window' ],TRUE,They want a library with a 24-hour window
I think this is a market that required some level of security,[ 'security' 'standing' ],TRUE,I think this is a market that required some level of standing security
And most vacationers still prefer a warm climate for their winter excursions,[ 'winter' 'wearing a gray' 'coat' ],FALSE,And most vacationers still prefer a warm climate for their winter wearing a gray coat excursions
Solar-powered batteries will make the spire glow,[ 'battery' 'on a' 'surface' ],TRUE,Solar-powered batteries on a surface will make the spire glow
They want a 24-hour library,[ 'library' 'white' ],FALSE,They want a 24-hour white library
Study halls complete with reference materials will be available,[ 'material' 'has' 'writing' ],TRUE,Study halls complete with reference materials with writing will be available
Solar-powered batteries will make the spire glow,[ 'battery' 'black' ],TRUE,Solar powered black batteries will make the spire glow
People in Glass houses tend to look stoned,[ 'people' 'ON' 'boat' ],FALSE,People on boats in Glass houses tend to look stoned
And most vacationers still prefer a warm climate for their winter excursions,[ 'winter' 'season' ],TRUE,And most vacationers still prefer a warm climate for their winter season excursions
Study halls complete with reference materials will be available,[ 'material' 'white' ],TRUE,Study halls complete with white reference materials will be available
People in Glass houses tend to look stoned,[ 'people' 'standing' ],TRUE,People standing in Glass houses tend to look stoned
Some activists are toiling to raise the profile of the two causes,[ 'profile' 'OF' 'face' ],TRUE,Some activists are toiling to raise the profile of the face of the two causes
Only 42 % of last year 's respondents anticipated slowing growth,[ 'year' 'ON' 'guard' ],TRUE,Only 42 percent of last years on guard respondents anicipated slowing growth
Solar-powered batteries will make the spire glow,[ 'spire' 'on top of' 'building' ],TRUE,Solar-powered batteries will make the spire on top of the building glow
People in Glass houses tend to look stoned,[ 'house' 'IN' 'background' ],TRUE,People in Glass houses in the background tend to look stoned
Some activists are toiling to raise the profile of the two causes,[ 'profile' 'side' ],TRUE,Some activists are profile toiling to raise the profile of the two side causes
Only 42 % of last year 's respondents anticipated slowing growth,[ 'year' 'white' ],FALSE,Only 42 percent of last white years respondents anticipated slowing growth
Mr. Conn charges that Humana 's own actions undermine its argument,[ 'action' 'IN' 'action' ],FALSE,NA
Solar-powered batteries will make the spire glow,[ 'spire' 'tall' ],FALSE,Solar-powered batteries will make the tall spire glow
Net fell 1 % to 3.23 billion yen from 3.26 billion yen,[ 'net' 'in front of' 'man' ],FALSE,Net in front of a man fell 1 percent to 3.23 billion yen from 3.26 billion yen
People in Glass houses tend to look stoned,[ 'house' 'white' ],TRUE,People in Glass white houses tend to look stoned
Solar-powered batteries will make the spire glow,[ 'glow' 'illuminating' 'wall' ],TRUE,Solar powered batteries will make the spire glow illuminating walls
Net fell 1 % to 3.23 billion yen from 3.26 billion yen,[ 'net' 'black' ],FALSE,Black net fell 1% to 3.23 billion yen from 3.26 billion yen
Mr. Conn charges that Humana 's own actions undermine its argument,[ 'action' 'MLB' ],FALSE,Mr Conn charges that Humanas own MLB actions undermine its argument
Only 42 % of last year 's respondents anticipated slowing growth,[ 'growth' 'near' 'grass' ],TRUE,Only 42 perfect of last years respondents anticipated slowing growth near the grass
The recent sharp stock market decline exacerbated those concerns,[ 'stock' 'OF' 'broccoli' ],FALSE,The recent sharp stock of broccoli market decline exacerbated those concerns
Solar-powered batteries will make the spire glow,[ 'glow' 'orange' ],TRUE,Solar-powered batteries will make the spire glow orange
Now as in those two years her stock market indicators are positive,[ 'year' 'OF' 'photo' ],FALSE,Now as in those two years of photos her stock market indicators are positive
Prices of high-yield high-risk corporate securities ended unchanged,[ 'price' 'ON' 'sign' ],FALSE,Prices on the sign of high yield high risk corporate securities ended unchanged
The recent sharp stock market decline exacerbated those concerns,[ 'stock' 'green' ],FALSE,n/a
Darman hopes to prod Congress to finish a deficit plan,[ 'plan' 'ON' 'tarmac' ],FALSE,Darman hopes to prod Congress to finish a deficit plan on tarmac
Only 42 % of last year 's respondents anticipated slowing growth,[ 'growth' 'green' ],TRUE,Only 42 percent of last years respondents anticipated slowing green growth
The recent sharp stock market decline exacerbated those concerns,[ 'market' 'IN' 'container' ],FALSE,The recent sharp stock market in the container decline exacerbated those concerns
Now as in those two years her stock market indicators are positive,[ 'year' 'white' ],FALSE,Now as in that white year her stock market indicators are positive
Bonuses would be paid based on playing time and performance,[ 'bonus' 'under' 'patty' ],FALSE,Bonuses under patty would be paid based on playing time and performance
Prices of high-yield high-risk corporate securities ended unchanged,[ 'price' 'written' ],FALSE,Written prices of high-yield high-risk corporate securities ended unchanged
Darman hopes to prod Congress to finish a deficit plan,[ 'plan' 'air' ],FALSE,Darman hopes to prod Congress to finish a deficit air plan
The recent sharp stock market decline exacerbated those concerns,[ 'market' 'outdoor' ],FALSE,N/A
The question is unanswerable at this point she says,[ 'question' 'black' ],TRUE,The black question is unanswerable at this point she says
Now as in those two years her stock market indicators are positive,[ 'stock' 'OF' 'broccoli' ],FALSE,Now as in those two years her stock of broccoli market indicators are positive
The recent sharp stock market decline exacerbated those concerns,[ 'decline' ' of grass' ],FALSE,The recent sharp stock market decline of grass exacerbated those concerns
Bonuses would be paid based on playing time and performance,[ 'playing' 'a game of' 'ball' ],FALSE,Bonuses would be paid based on playing a game of ball time and performance
Prices of high-yield high-risk corporate securities ended unchanged,[ 'security' 'ON' 'text' ],FALSE,Prices of high yield high risk corporate securities on text ended unchanged
The question is unanswerable at this point she says,[ 'point' 'ON' 'fence' ],FALSE,The question is unanswerable at this point on the fence she says
Bonuses would be paid based on playing time and performance,[ 'time' 'ON' 'clock' ],TRUE,Bonuses would be paid based on playing time on the clock and performance
They got a transaction that 's good for both companies,[ 'company' 'has' 'name' ],TRUE,They got a transaction that's good for both companies that have names
The question is unanswerable at this point she says,[ 'point' 'sharp' ],FALSE,The question is unanswerable at this sharp point she says
Now as in those two years her stock market indicators are positive,[ 'stock' 'green' ],TRUE,Now as in those two years her green stock market indicators are positive
Now as in those two years her stock market indicators are positive,[ 'market' 'on' 'sign' ],TRUE,Now as in those two years her stock market indicators are a positive sign
Bonuses would be paid based on playing time and performance,[ 'time' 'displayed' ],TRUE,Bonuses would be paid based on playing time displayed and performance
They got a transaction that 's good for both companies,[ 'company' 'name' ],FALSE,They got a transaction that's good for both name companies
I do n't think the market is going through another October '87,[ 'market' 'OF' 'fruit' ],TRUE,I do not think the market of fruit is going through another October 87
Prices of high-yield high-risk corporate securities ended unchanged,[ 'security' 'standing' ],TRUE,Prices of high yield high risk corporate standing securities ended unchanged
Now as in those two years her stock market indicators are positive,[ 'market' 'outdoor' ],FALSE,Now as in those two years her stock outdoor market indicators are positive
A U.S.-made imitation under the title Almost Anything Goes flopped fast,[ 'title' 'under' 'cat' ],FALSE,NA
Bonuses would be paid based on playing time and performance,[ 'crowd' 'watching' 'performance' ],FALSE,Bonuses would be paid based on playing time and crowd watching performance
A UNIFIED EUROPE poses labor problems and prospects for U.S. firms,[ 'plane' 'has' 'problem' ],FALSE,A unified Europe poses labor problems that have a plane and prospects for US firms
A U.S.-made imitation under the title Almost Anything Goes flopped fast,[ 'title' 'movie' ],TRUE,A U.S.-made imitation under the movie title Almost Anything Goes flopped fast
Analysts expect further jitters this week,[ 'day' 'OF' 'week' ],TRUE,N/A
Now as in those two years her stock market indicators are positive,[ 'indicator' 'ON' 'speed-o-meter' ],TRUE,Now as in those two years her stock market indicators on the speed o meter are positive
Minicar output more than tripled,[ 'output' 'electrical' ],TRUE,Minicar electrical output more than tripled
We tell them all the major companies are having financial difficulties,[ 'company' 'ON' 'corner' ],TRUE,We tell them all the major companies on the corner are having financial difficulties
I do n't think the market is going through another October '87,[ 'market' 'outdoor' ],FALSE,I don't think the outdoor market is going through another October '87
The reality is that Bank finances are rock solid,[ 'rock' 'ON' 'ground' ],TRUE,The reality is that Bank finances are rock on the ground solid
But by that time many big institutions had switched business to London,[ 'time' 'reflected on' 'clock' ],TRUE,But by that time reflected on the clock many big institutions had switched business to London
Now as in those two years her stock market indicators are positive,[ 'indicator' 'red' ],TRUE,Now as in those two years her red stock market indicators are positive
We tell them all the major companies are having financial difficulties,[ 'company' 'name' ],FALSE,We tell them all the major name companies are having financial difficulties
The reality is that Bank finances are rock solid,[ 'rock' 'large' ],FALSE,The reality is that Bank finances are large rock solid
In the latest quarter at least profit is expected to fall sharply,[ 'quarter' 'OF' 'train' ],FALSE,N/A
Experts say such long hours for attendants pose a safety risk,[ 'hour' 'hand' 'clock have' ],FALSE,Experts say such long hours on the hand of the clock have a safety risk for attendants
This leads to a very special sense of urgency,[ 'phrase' 'makes no' 'sense' ],FALSE,This leads to a very special phrase that makes no sense of urgency
Lack of liquidity can also result from exchange reforms,[ 'lack' 'in front' 'hills' ],FALSE,Lacking in front hills of liquidity can also result from exchange reforms
But by that time many big institutions had switched business to London,[ 'time' 'displayed' ],FALSE,But by that displayed time many big institutions had switched business to London
In the latest quarter at least profit is expected to fall sharply,[ 'quarter' 'silver' ],FALSE,In the latest silver quarter at least profit is expected to fall sharply
Experts say such long hours for attendants pose a safety risk,[ 'hour' 'black' ],FALSE,Experts say such long black hours for attendants pose a safety risk
Lack of liquidity can also result from exchange reforms,[ 'two women' 'make' 'exchange' ],TRUE,Lack of liquidity can also result from two women making exchange reforms
Others preach the gospel of buying only blue-chip growth stocks,[ 'others' 'at' 'beach' ],TRUE,Others at the beach preach the gospel of buying only blue chip growth stocks
But by that time many big institutions had switched business to London,[ 'business' 'ON' 'building' ],FALSE,N/A
The 30-share index settled 42.0 points lower at 1678.5,[ 'index' 'ON' 'helmet' ],FALSE,The 30 share index on the helmet settled 42.0 points lower at 1678.5
Experts say such long hours for attendants pose a safety risk,[ 'attendant' 'talking to' 'visitor' ],TRUE,Experts say such long hours for attendants talking to visitors pose a safety risk
It made my shoelaces dance with terror,[ 'shoelace' 'OF' 'man' ],FALSE,It made my shoelaces of man dance with terror
Others preach the gospel of buying only blue-chip growth stocks,[ 'others' 'three' ],TRUE,Three others preach the gospel of buying only blue-chip growth stocks
Experts say such long hours for attendants pose a safety risk,[ 'attendant' 'assisting' ],TRUE,Experts say such long hours for assisting attendants pose a safety risk
But by that time many big institutions had switched business to London,[ 'business' 'here' ],TRUE,But by that time many big institutions had switched business here to London
Others preach the gospel of buying only blue-chip growth stocks,[ 'growth' 'IN' 'field' ],TRUE,Others preach the gospel of buying only stocks showing blue-chip growth in the field
Experts say such long hours for attendants pose a safety risk,[ 'safety' 'ON' 'waist' ],TRUE,Experts say such long hours for attendants pose a safety risk on their waist
It made my shoelaces dance with terror,[ 'shoelace' 'white' ],TRUE,It made my white shoelaces dance with terror
The 30-share index settled 42.0 points lower at 1678.5,[ 'index' 'is a finger' ],FALSE,The 30-share index is a finger settled 42.0 points lower at 1678.5
One bank stock was a winner,[ 'bank' 'beside' 'river' ],FALSE,One bank stock beside a river was a winner
The 30-share index settled 42.0 points lower at 1678.5,[ 'point' 'ON' 'map' ],TRUE,The 30-share index settled 42.0 points on the map lower at 1678.5
Experts say such long hours for attendants pose a safety risk,[ 'safety' 'orange' ],FALSE,Experts say such long hours for attendants pose an orange safety risk
Siemens is West Germany 's largest electronics group,[ 'electronics' 'near' 'person' ],FALSE,Siemens is West Germany 's largest near person electronics group
One bank stock was a winner,[ 'bank' 'grassy' ],FALSE,One grassy bank stock was a winner
The 30-share index settled 42.0 points lower at 1678.5,[ 'point' 'sharp' ],FALSE,The 30-share index settled 42.0 sharp points lower at 1678.5
But many of these stocks have now become expensive,[ 'stock' 'OF' 'broccoli' ],FALSE,But many of these stocks of broccoli have now become expensive
Siemens is West Germany 's largest electronics group,[ 'electronics' 'black' ],TRUE,Siemens is West Germany 's largest black electronics group
One bank stock was a winner,[ 'stock' 'OF' 'broccoli' ],FALSE,One bank stock of broccoli was a winner
But many of these stocks have now become expensive,[ 'stock' 'green' ],TRUE,But many of these green stocks have now become expensive
Peter Gumbel in Moscow contributed to this article,[ 'article' 'ON' 'chair' ],TRUE,Peter Gumbel in Moscow  contributed to this article on the chair
Siemens is West Germany 's largest electronics group,[ 'group' 'IN' 'desert' ],TRUE,Siemens is West Germany 's largest electronics group in the desert
One bank stock was a winner,[ 'stock' 'green' ],FALSE,One bank green stock was a winner
GSX is a unit of Laidlaw Transportation Ltd. of Burlington Canada,[ 'unit' 'on top of' 'bus' ],FALSE,GSX is a unit on top of the bus of Laidlaw Transportation Ltd of Burlington Canada
Siemens is West Germany 's largest electronics group,[ 'group' 'large' ],FALSE,NA
One bank stock was a winner,[ 'winner' 'seen' 'left leg' ],FALSE,Our bank stock was a winner that had seen the left leg
Peter Gumbel in Moscow contributed to this article,[ 'article' 'newspaper' ],TRUE,Peter Gumbel in Moscow contributed to this article in the newspaper
GSX is a unit of Laidlaw Transportation Ltd. of Burlington Canada,[ 'unit' 'white' ],FALSE,GSX is a white unit of Laidlaw Transportation Ltd. of Burlington Canada
One bank stock was a winner,[ 'winner' '2nd place' ],TRUE,One bank stock was a 2nd place winner
More important the CD was purchased on the secondary or resale market,[ 'market' 'for' 'people' ],TRUE,More important the CD was purchased on the secondary or resale market for people
In five minutes the Dow industrials climbed almost 30 points,[ 'minute' 'hand on' 'clock' ],FALSE,In five hand on clock minutes the Dow industrials climbed almost 30 points
New management can take several steps to reduce dishonesty,[ 'step' 'ON' 'stairway' ],FALSE,New management can take several steps on the stairway to reduce dishonesty
In five minutes the Dow industrials climbed almost 30 points,[ 'minute' 'black' ],FALSE,In five black minutes the Dow industrials climbed almost 30 points
More important the CD was purchased on the secondary or resale market,[ 'market' 'outdoor' ],TRUE,More important the CD was purchased on the secondary or resale outdoor market
New management can take several steps to reduce dishonesty,[ 'step' 'concrete' ],TRUE,New management can take several concrete steps to reduce dishonesty
In five minutes the Dow industrials climbed almost 30 points,[ 'point' 'mounted on' 'tower' ],FALSE,N/A
They could still panic and bail out of the market,[ 'market' 'OF' 'cucumbers' ],FALSE,They could still panic and bail out of the market of cucumbers
Total merchant banking exposures are in excess of the firm 's equity,[ 'merchant' 'WEARING' 'apron' ],FALSE,Total merchant wearing an apron exposures are in excess of the firms equity
Once somebody eats one they get hooked,[ 'somebody' 'using' 'computer' ],FALSE,n/a
In five minutes the Dow industrials climbed almost 30 points,[ 'point' 'sharp' ],FALSE,In five minutes the Dow industrials climbed almost 30 sharp points
Once somebody eats one they get hooked,[ 'somebody' 'here' ],TRUE,Once somebody here eats one they get hooked
The moisturizer introduced in 1962 had a dowdy image,[ 'moisturizer' 'for' 'skin' ],TRUE,The moisturizer for skin introduced in 1962 had a dowdy image
They could still panic and bail out of the market,[ 'market' 'outdoor' ],TRUE,They could still panic and bail out the outdoor market
Mr. Mehl attributed the rise specifically to the Treasury bill increase,[ 'rise' 'IN' 'ground' ],FALSE,N/A
Mr. Mehl attributed the rise specifically to the Treasury bill increase,[ 'rise' 'GRASSY' ],FALSE,Mr Mehl attributed the grassy rise specifically to the Treasury bill increase
Total merchant banking exposures are in excess of the firm 's equity,[ 'mud' 'ON' 'banking' ],FALSE,Total mud on merchant banking exposures are in excess of the firm 's equity
Others preach the gospel of buying only blue-chip growth stocks,[ 'growth' 'green' ],TRUE,Others preach the gospel of buying only blue-chip green growth stocks
The moisturizer introduced in 1962 had a dowdy image,[ 'moisturizer' 'face' ],TRUE,The face moisturizer introduced in 1962 had a dowdy image
That 's a lot of banishment as it turns out,[ 'lot' 'full of' 'motorcycles' ],FALSE,That's a lot full of motorcycle of banishment as it turns out
Mr. Mehl attributed the rise specifically to the Treasury bill increase,[ 'bill' 'on' 'hat' ],FALSE,Mr. Mehl attributed the rise specifically to the increase in the Treasury bill on the hat
Others preach the gospel of buying only blue-chip growth stocks,[ 'stock' 'OF' 'broccoli' ],FALSE,Others preach the gospel of buying on blue chip growth stocks of broccoli
Total merchant banking exposures are in excess of the firm 's equity,[ 'banking' 'grassy' ],FALSE,Total merchant's grassy banking exposures are in excess of the firm's equity
The moisturizer introduced in 1962 had a dowdy image,[ 'image' 'leaning against' 'mirror' ],TRUE,The moisturizer introduced in 1962 had a dowdy image leading against a mirror
That 's a lot of banishment as it turns out,[ 'lot' 'parking' ],TRUE,That's a parking lot of banishment as it turns out
Others preach the gospel of buying only blue-chip growth stocks,[ 'stock' 'green' ],FALSE,Others preach the gospel of buying only blue-chip growth green stocks
Total merchant banking exposures are in excess of the firm 's equity,[ 'exposure' 'translucent' ],FALSE,Total merchant banking's translucent exposures are in excess of the firm's equity
Borrowed shares on the Amex rose to another record,[ 'record' 'atop' 'speaker' ],FALSE,Borrowed shares on the Amex rose to another record atop the speaker
"The minimum unit is 100,000",[ 'unit' 'on top of' 'bus' ],TRUE,The minimum unit on top of the bus is 100000
Borrowed shares on the Amex rose to another record,[ 'record' 'black' ],FALSE,Borrowed shares on the Amex rose to another black record
New York Life has been doing the same for over 140 years,[ 'year' 'ON' 'bench' ],FALSE,New York Life has been doing the same thing for over 140 years on the bench
"The 150,000-square-foot plant will be constructed on a 55-acre site near Dublin",[ 'plant' 'IN' 'planter' ],TRUE,The 150000 square foot plant in the planter will be constructed on a 55 acre site near Dublin
New York Life has been doing the same for over 140 years,[ 'year' 'white' ],FALSE,New York Life has been doing the same for over 140 white years
"The 150,000-square-foot plant will be constructed on a 55-acre site near Dublin",[ 'plant' 'green' ],TRUE,The 150000 square foot green plant will be constructed on a 55 acre site near Dublin
"The minimum unit is 100,000",[ 'unit' 'white' ],TRUE,"The minimum white unit is 100,000"
The value traded on the exchanges is close to 3 trillion,[ 'two women' 'make' 'exchange' ],FALSE,The value traded on the two women making exchanges is close to 3 trillion
The Paris bank does n't publish that figure,[ 'bank' 'near' 'river' ],FALSE,The Paris bank near the river doesn't publish that figure
"The 150,000-square-foot plant will be constructed on a 55-acre site near Dublin",[ 'site' 'has' 'fence' ],TRUE,"The 150,000-square-foot plant will be constructed on a 55-acre site that has a fence near Dublin"
About 54 % are women and 44 % are part-time students,[ 'woman' 'wearing a blue' 'top' ],TRUE,About 54 percent are women wearing a blue top and 44 percent are part time students
The Paris bank does n't publish that figure,[ 'bank' 'grassy' ],FALSE,N/A
"The 150,000-square-foot plant will be constructed on a 55-acre site near Dublin",[ 'site' 'construction' ],TRUE,The 150000 square foot plant will be site constructed on a 55 acre site near Dublin
About 54 % are women and 44 % are part-time students,[ 'woman' 'standing' ],TRUE,About 54 % are women standing and 44 % are part-time students
He adds I think it was a fairly decent call,[ 'tricycle' 'with' 'call' ],FALSE,He adds I think it was a fairly decent call with the tricycle
The Paris bank does n't publish that figure,[ 'figure' 'on top of' 'engine room' ],FALSE,N/A
About 54 % are women and 44 % are part-time students,[ 'student' 'with a' 'cell phone' ],TRUE,About 54 % are women and 44 % are part-time students with a cell phone
About 54 % are women and 44 % are part-time students,[ 'student' 'ethnic' ],TRUE,About 54 percent are women and 44 percent are part time ethnic students
He adds I think it was a fairly decent call,[ 'call' 'here' ],TRUE,He adds I think it was a fairly decent call here
The Paris bank does n't publish that figure,[ 'figure' 'green' ],FALSE,The Paris bank doesn't publish that green figure
Now comes the pool flap,[ 'pool' 'containing' 'water' ],TRUE,Now comes the flap about pool containing water
American Cyanamid is a Wayne N.J. chemicals drugs and fertilizer concern,[ 'bottle' 'containing' 'chemical' ],TRUE,American Cyanamid is a Wayne N.J. bottles containing chemicals drugs and fertilizer concern
Now comes the pool flap,[ 'pool' 'blue' ],FALSE,Now comes the blue pool flap
American Cyanamid is a Wayne N.J. chemicals drugs and fertilizer concern,[ 'chemical' 'red' ],TRUE,American Cyanamid is a Wayne N.J. red chemicals drugs and fertilizer concern
Your paper needs a serious reality check,[ 'paper' 'ON' 'pillows' ],TRUE,Your paper on pillows needs a serious reality check
Now comes the pool flap,[ 'flap' 'ON' 'pocket' ],FALSE,Now comes the pool flap on pocket
Cable & Wireless PLC of Britain won the other license,[ 'license' 'OF' 'car' ],FALSE,Cable and Wireless PLC of Britain won the other license of the car
Your paper needs a serious reality check,[ 'paper' 'white' ],TRUE,Your white paper needs a serious reality check
Now comes the pool flap,[ 'flap' 'white' ],FALSE,Now comes the white pool flap
Cable & Wireless PLC of Britain won the other license,[ 'license' 'white' ],FALSE,Cable & Wireless PLC of Britain won the other white license
Your paper needs a serious reality check,[ 'check' 'ON' 'road' ],FALSE,Your paper needs a serious reality check on road
The stock fell 75 cents,[ 'stock' 'OF' 'broccoli' ],FALSE,The stock of broccoli fell 75 cents
Your paper needs a serious reality check,[ 'check' 'white' ],FALSE,Your paper needs a serious white reality check
The stock fell 75 cents,[ 'stock' 'green' ],FALSE,The green stock fell 75 cents
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,[ 'advertisement' 'for' 'insurance' ],TRUE,Lawrence Insurance underwrites mostly primary insurance for advertisement a company spokesman said
Long-term Treasury bonds ended slightly higher,[ 'bond' 'black ' ],FALSE,Long-term Treasury black bonds ended slightly higher
But no one else does,[ 'one' 'ON' 'sign' ],FALSE,NA
Where 's the guy who can say Enough is enough,[ 'guy' 'wearing a' 'cap' ],TRUE,Where's the guy wearing a cap who can say Enough is enough
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,[ 'company' 'ON' 'bus' ],FALSE,N/A
But no one else does,[ 'one' 'white' ],FALSE,But no one else white does
Where 's the guy who can say Enough is enough,[ 'guy' 'standing' ],FALSE,Where's the guy standing who can say Enough is enough
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,[ 'company' 'name' ],FALSE,Lawrence Insurance underwrites mostly primary insurance a name company spokesman said
But U.S. officials have strong doubts that he is a reformer,[ 'official' 'IN' 'ring' ],TRUE,But US officials in the ring have strong doubts that he is a reformer
Stocks of California-based thrifts also were hard hit,[ 'stock' 'OF' 'broccoli' ],FALSE,Stocks of broccoli of California based thrifts also were hard hit
Still the split is there,[ 'split' 'IN' 'railroad tracks' ],TRUE,Still the split in the railroad tracks is there
Stocks of California-based thrifts also were hard hit,[ 'stock' 'green' ],FALSE,Green stocks of California-based thrifts also were hard hit
But U.S. officials have strong doubts that he is a reformer,[ 'official' 'tennis' ],TRUE,But US tennis officials have strong doubts that he is a reformer
Asahi officials could n't be reached for comment,[ 'can' 'OF' 'asahi' ],FALSE,Can of asahi officials could n't be reached for comment
Still the split is there,[ 'split' 'long' ],TRUE,Still the long split is there
The offering Series 1989-84 is backed by Fannie Mae 9 % securities,[ 'series' 'OF' 'window' ],FALSE,N/A
Asahi officials could n't be reached for comment,[ 'official' 'WEARING' 'shirt' ],TRUE,Asahi officials wearing shirts could not be reached for comment
Asahi officials could n't be reached for comment,[ 'official' 'tennis' ],TRUE,Asahi tennis officials couldn't be reached for comment
India 's Gandhi called for parliamentary elections next month,[ 'month' 'around' 'face' ],FALSE,Indias Gandhi called for parliamentary elections next month around the face
Of course many more issues 93 hit new lows,[ 'course' 'has a' 'flag' ],FALSE,N/A
India 's Gandhi called for parliamentary elections next month,[ 'month' 'ninth' ],FALSE,Indias Gandhi called for parliamentary elections the next ninth month
Of course many more issues 93 hit new lows,[ 'course' 'green' ],FALSE,N/A
Of course many more issues 93 hit new lows,[ 'low' 'retaining' 'wall' ],TRUE,Of course many more issues 93 hit new low retaining walls
Over the next few years I would advise caution,[ 'year' 'OF' 'photo' ],TRUE,Over the next few years of photos I would advise caution
Over the next few years I would advise caution,[ 'year' 'white' ],FALSE,Over the next few white years I would advise caution
Sale of Saatchi Unit Close,[ 'sale' 'ON' 'window' ],FALSE,Sale on window Saatchi Unit Close
Over the next few years I would advise caution,[ 'caution' 'ON' 'sign' ],FALSE,Over the next few years I would advise caution on sign
Sale of Saatchi Unit Close,[ 'sale' 'red' ],FALSE,Red Sale of Saatchi Unit Close
Serial bonds are priced to yield to 7 % in 1999,[ 'bond' 'black ' ],TRUE,Serial black bonds are priced to yield to 7 % in 1999
